id_equipamento,data,turno,equipe,inicio,fim,duracao_h,status,codigo,categoria,descricao
DRILL-0001,2023-01-01,Noturno,D,2023-01-01T00:00:00Z,2023-01-01T02:46:42Z,2.7699618176098215,Parada,5948,HOI,Hora Ocio Inter
DRILL-0001,2023-01-01,Noturno,D,2023-01-01T02:46:42Z,2023-01-01T06:00:00Z,3.205343309591672,Parada,5982,HOI,Hora Ocio Inter
DRILL-0001,2023-01-01,Diurno,C,2023-01-01T06:00:00Z,2023-01-01T06:09:16Z,0.15361426537078288,Parada,5948,HOI,Hora Ocio Inter
DRILL-0001,2023-01-01,Diurno,C,2023-01-01T06:09:16Z,2023-01-01T18:00:00Z,11.942134566079883,Liberado,5928,HOI,Hora Ocio Inter
DRILL-0001,2023-01-01,Tarde,D,2023-01-01T18:00:00Z,2023-01-01T18:50:10Z,0.8384040917554587,Liberado,5928,HOI,Hora Ocio Inter
DRILL-0001,2023-01-01,Tarde,D,2023-01-01T18:50:10Z,2023-01-02T00:00:00Z,5.179725672686887,Parada,5982,HOI,Hora Ocio Inter
DRILL-0001,2023-01-02,Noturno,D,2023-01-02T00:00:00Z,2023-01-02T00:54:05Z,0.9040234342140353,Parada,5948,HOI,Hora Ocio Inter
DRILL-0001,2023-01-02,Noturno,D,2023-01-02T00:54:05Z,2023-01-02T06:00:00Z,5.0633298319927285,Parada,5982,HOI,Hora Ocio Inter
DRILL-0001,2023-01-02,Diurno,C,2023-01-02T06:00:00Z,2023-01-02T06:11:00Z,0.18224850800633427,Parada,5948,HOI,Hora Ocio Inter
DRILL-0001,2023-01-02,Diurno,C,2023-01-02T06:11:00Z,2023-01-02T18:00:00Z,11.731064069905784,Liberado,5928,HOI,Hora Ocio Inter
DRILL-0001,2023-01-02,Tarde,D,2023-01-02T18:00:00Z,2023-01-02T19:08:41Z,1.1548183882781173,Liberado,5928,HOI,Hora Ocio Inter
DRILL-0001,2023-01-02,Tarde,D,2023-01-02T19:08:41Z,2023-01-03T00:00:00Z,4.876276909044497,Parada,5982,HOI,Hora Ocio Inter
DRILL-0001,2023-01-03,Noturno,D,2023-01-03T00:00:00Z,2023-01-03T00:05:09Z,0.0856459705552513,Parada,5948,HOI,Hora Ocio Inter
DRILL-0001,2023-01-03,Noturno,D,2023-01-03T00:05:09Z,2023-01-03T06:00:00Z,5.943980471707209,Parada,5982,HOI,Hora Ocio Inter
DRILL-0001,2023-01-03,Diurno,A,2023-01-03T06:00:00Z,2023-01-03T07:05:54Z,1.0887553900199012,Parada,5948,HOI,Hora Ocio Inter
DRILL-0001,2023-01-03,Diurno,A,2023-01-03T07:05:54Z,2023-01-03T11:43:30Z,4.668135140872933,Parada,5982,HOI,Hora Ocio Inter
DRILL-0001,2023-01-03,Diurno,A,2023-01-03T11:43:30Z,2023-01-03T11:59:54Z,0.27209677798080567,Parada,4906,HTD,Hora Trab Diver
DRILL-0001,2023-01-03,Diurno,A,2023-01-03T11:59:54Z,2023-01-03T12:53:46Z,0.9046581933688373,Apto,1911,HEF,Hora Efetiva
DRILL-0001,2023-01-03,Diurno,A,2023-01-03T12:53:46Z,2023-01-03T14:31:16Z,1.6189664216089295,Parada,4906,HTD,Hora Trab Diver
DRILL-0001,2023-01-03,Diurno,A,2023-01-03T14:31:16Z,2023-01-03T17:35:33Z,3.057303756727573,Parada,4906,HTD,Hora Trab Diver
DRILL-0001,2023-01-03,Diurno,A,2023-01-03T17:35:33Z,2023-01-03T18:00:00Z,0.4076172709867823,Parada,5982,HOI,Hora Ocio Inter
DRILL-0001,2023-01-03,Tarde,B,2023-01-03T18:00:00Z,2023-01-03T20:21:34Z,2.3424527149398315,Parada,5948,HOI,Hora Ocio Inter
DRILL-0001,2023-01-03,Tarde,B,2023-01-03T20:21:34Z,2023-01-04T00:00:00Z,3.660873616018128,Parada,5982,HOI,Hora Ocio Inter
DRILL-0001,2023-01-04,Noturno,B,2023-01-04T00:00:00Z,2023-01-04T06:00:00Z,5.950017102956772,Parada,5948,HOI,Hora Ocio Inter
