data,id_equipamento,modelo,DF,UF,MTBF,MTTR,num_falhas,producao_total,produtividade,HC,HM,HMC,HMP,HT,HEF
2019-08-01,DRILL-001,Atlas Copco ROC D7,78.54,6.93,2.53,5.49,15.97,0,0,746.59,160.08,88.87,72.88,40.39,35.81
2019-09-01,DRILL-001,Atlas Copco ROC D7,61.52,10.25,3.51,3.23,13.05,0,0,723,279,42.6,240.16,44.76,39.59
2019-10-01,DRILL-001,Atlas Copco ROC D7,89.83,12.06,5.64,5.83,14.11,0,0,736.86,82.13,82.51,0,80.13,76.71
2019-11-01,DRILL-001,Atlas Copco ROC D7,79.09,21.87,5.38,6.67,22.9,0,0,720.37,152.38,152.95,0,123.3,116.41
2019-12-01,DRILL-001,Atlas Copco ROC D7,74.37,49.61,18.75,5.29,15.13,0,0,744.66,189.2,79.56,107.6,276.01,264.33
2020-01-01,DRILL-001,Atlas Copco ROC D7,60.63,40.45,9.7,15.48,18.87,0,0,746.45,292.12,296.5,0,181.58,173.01
2020-02-01,DRILL-001,Atlas Copco ROC D7,82.84,27.8,12.08,7.77,13.12,0,0,673.48,110.12,101.71,7.85,157.27,145.85
2020-03-01,DRILL-001,Atlas Copco ROC D7,86.16,23.96,25.65,8.1,5.99,0,0,748.32,103.07,48.21,53.39,155.42,149.94
2020-04-01,DRILL-001,Atlas Copco ROC D7,87.92,48.61,16.21,4.26,19.01,0,0,725.45,80.65,81.09,0.2,304.96,290.38
2020-05-01,DRILL-001,Atlas Copco ROC D7,82.14,28.81,13.79,5.43,13.01,0,0,737.15,132.68,70.18,60.84,177.87,171.15
2020-06-01,DRILL-001,Atlas Copco ROC D7,84.85,52.43,18.85,6.48,17,0,0,716.71,110.95,110.73,0.95,318.95,314.46
2020-07-01,DRILL-001,Atlas Copco ROC D7,78.61,56.54,21.97,10.69,15.09,0,0,749.95,159.06,159.76,0,325.82,319.43
2020-08-01,DRILL-001,Atlas Copco ROC D7,62.56,54.18,11.21,5.6,21.96,0,0,740.41,281.15,122.67,160.77,251.51,244.38
2020-09-01,DRILL-001,Atlas Copco ROC D7,49.34,50.03,6.34,13.15,27.84,0,0,718.41,367.04,365.43,0.59,179.28,166.44
2020-10-01,DRILL-001,Atlas Copco ROC D7,66.05,47.33,9.24,9.58,24.97,0,0,740.19,258.63,175.02,18.39,233.81,226.89
2020-11-01,DRILL-001,Atlas Copco ROC D7,50.3,51.07,9.36,11.14,19.89,0,0,720.86,358.38,220.1,137.16,184.97,184.65
2020-12-01,DRILL-001,Atlas Copco ROC D7,65.94,59.57,17.05,5.72,16.97,0,0,737.97,249.9,95.8,155.72,292.48,278.3
2021-01-01,DRILL-001,Atlas Copco ROC D7,77.97,32.38,13.55,10.69,13.86,0,0,738.61,159.55,149,9.86,191.36,176.61
2021-02-01,DRILL-001,Atlas Copco ROC D7,18.89,20.95,2.64,27.16,10.06,0,0,675.08,541.23,271.38,272.89,26.24,24.24
2021-03-01,DRILL-001,Atlas Copco ROC D7,81.4,24.25,9.89,8.66,15.03,0,0,740.64,135.39,131.47,4.12,148.66,138.35
2021-04-01,DRILL-001,Atlas Copco ROC D7,80.18,21.72,9.74,8.82,12.98,0,0,723.84,138.43,115.78,23.61,128.42,110.69
2021-05-01,DRILL-001,Atlas Copco ROC D7,88.23,24.46,12.65,5.76,13.02,0,0,742.35,83.32,75.08,7.25,163,133.04
2021-06-01,DRILL-001,Atlas Copco ROC D7,84.63,8.78,4.12,8.01,12.92,0,0,717.22,104.29,104.1,0.52,53.72,49.85
2021-07-01,DRILL-001,Atlas Copco ROC D7,92.68,7.07,6.94,7.36,7.07,0,0,741.28,51.54,51.95,0,48.56,38.91
2021-08-01,DRILL-001,Atlas Copco ROC D7,92.13,6.95,4.66,6.5,9.93,0,0,746.8,65.18,65.9,0,46.54,42.1
2021-09-01,DRILL-001,Atlas Copco ROC D7,61.43,5.6,12.6,4.92,2,0,0,715.36,277.34,9.84,263.63,25.38,22.1
2021-10-01,DRILL-001,Atlas Copco ROC D7,97.59,5.43,4.96,1.94,7.95,0,0,739.31,15.51,15.71,0,39.11,35.33
2021-11-01,DRILL-001,Atlas Copco ROC D7,96.94,4.97,5.85,3.38,6.06,0,0,719,20.5,20.51,0,34.79,29.17
2021-12-01,DRILL-001,Atlas Copco ROC D7,96.85,5.2,36.97,24.57,0.99,0,0,749.84,24.3,0,0,37.07,33.1
2022-01-01,DRILL-001,Atlas Copco ROC D7,99.57,7.36,54.18,9.81,1,0,0,747.62,9.79,9.85,0,53.82,39.01
2022-02-01,DRILL-001,Atlas Copco ROC D7,99.88,3.08,10.34,2.55,2,0,0,667.76,5.09,5.07,0,20.76,18.39
2022-03-01,DRILL-001,Atlas Copco ROC D7,92.95,7.38,7.2,7.04,7.03,0,0,743.02,49.22,48.37,0,50.56,42.25
2022-04-01,DRILL-001,Atlas Copco ROC D7,95.63,3.92,3.36,4.77,8.07,0,0,723.05,37.87,38.08,0,26.72,21.67
2022-05-01,DRILL-001,Atlas Copco ROC D7,82.06,4.31,6.56,3.4,4.02,0,0,745.02,137.97,13.57,125.53,26.5,19.42
2022-06-01,DRILL-001,Atlas Copco ROC D7,93.93,11.77,7.94,4.12,9.91,0,0,714.72,41.21,41.48,0,78.96,77.19
2022-07-01,DRILL-001,Atlas Copco ROC D7,96.58,6.47,3.58,2.47,13.06,0,0,751.43,32.3,32.1,0.49,46.78,43.66
2022-08-01,DRILL-001,Atlas Copco ROC D7,81.68,10.72,3.66,6.54,17.92,0,0,740.87,130,117.77,13.95,66.26,57.9
2022-09-01,DRILL-001,Atlas Copco ROC D7,82.63,10.22,8.55,4.61,7.07,0,0,720.61,125.56,32.63,94.45,59.86,58.57
2022-10-01,DRILL-001,Atlas Copco ROC D7,88.59,7,15.29,3.37,3,0,0,739.87,81.67,10.06,71.85,46.34,45.73
2022-11-01,DRILL-001,Atlas Copco ROC D7,85.33,4.69,2.87,10.95,10.1,0,0,713.57,108.11,107.92,0,29.04,28.68
2022-12-01,DRILL-001,Atlas Copco ROC D7,57.96,13.3,3.37,18.54,17.01,0,0,747.42,311.27,310.06,0,57.53,56.59
2023-01-01,DRILL-001,Atlas Copco ROC D7,47.13,4.01,3.52,99.13,4,0,0,745.43,389.92,393.67,0,14.27,14.02
2023-02-01,DRILL-001,Atlas Copco ROC D7,70.25,4.52,4.34,20.9,4.99,0,0,700.34,213.04,103.41,106.88,21.85,21.8
2023-03-01,DRILL-001,Atlas Copco ROC D7,83.97,10.58,4.59,8.91,14.03,0,0,736.84,124.64,125.57,0,64.95,64.4
2023-04-01,DRILL-001,Atlas Copco ROC D7,88.14,3.66,1.91,7.27,11.94,0,0,720.63,87.01,86.25,0,23.04,23.14
2023-05-01,DRILL-001,Atlas Copco ROC D7,80.21,6.38,1.93,7.04,19.81,0,0,737.29,140.87,142.11,0,39,38.83
2023-06-01,DRILL-001,Atlas Copco ROC D7,87.95,10.09,5.82,7.64,11.07,0,0,717.58,84.31,84.06,0,63.31,63.39
2023-07-01,DRILL-001,Atlas Copco ROC D7,89.14,10.06,9.59,10.78,6.93,0,0,749.87,77.56,75.29,1.07,66.75,67.32
2023-08-01,DRILL-001,Atlas Copco ROC D7,85.6,14.04,5.97,7.37,14.99,0,0,750.22,111.47,110.93,0,89.22,88.31
2023-09-01,DRILL-001,Atlas Copco ROC D7,79.9,13.3,6.35,11.92,11.96,0,0,724.88,147.37,145.59,1.88,76.2,67.38
2023-10-01,DRILL-001,Atlas Copco ROC D7,87.34,12.61,13.46,16.29,6.01,0,0,745.96,100.86,99.08,2.06,80.2,72.18
2023-11-01,DRILL-001,Atlas Copco ROC D7,68.45,6.51,5.33,2.55,5.95,0,0,721.53,228.16,15.09,212.86,31.93,31.99
2023-12-01,DRILL-001,Atlas Copco ROC D7,89.5,3.57,3.98,13.49,6.05,0,0,737.8,81.16,80.7,0,23.93,23.69
2024-01-01,DRILL-001,Atlas Copco ROC D7,98.21,7.49,13.66,3.11,3.99,0,0,739.72,12.63,12.6,0,55.16,54.29
2024-02-01,DRILL-001,Atlas Copco ROC D7,93.68,2.64,5.51,15.61,3,0,0,671.32,46.73,46.21,0,16.4,16.64
2024-03-01,DRILL-001,Atlas Copco ROC D7,83.59,1.39,4.35,5.26,2,0,0,740.88,117.31,10.55,105.47,8.72,8.75
2024-04-01,DRILL-001,Atlas Copco ROC D7,86.72,1.18,1.25,15.55,6,0,0,725.71,94.81,65.45,0,7.37,7.46
2024-05-01,DRILL-001,Atlas Copco ROC D7,89.57,1.26,1.19,11.17,6.95,0,0,737.6,77.44,78.85,0,8.29,8.3
