data,turno,periodo_climatico,DF,UF,produtividade_ht,massa_carregada,carga_media,num_ciclos,tmc,tempo_manobra,HC,HM,HD,HO,HT,HTP,HTNP,HEF,HAO,id_equipamento
2019-01-01,1,Chuvoso,37.03,77.59,2520.45,4306.85,82.46,52,3.13,0.83,6,3.76,2.23,0.51,1.72,1.51,0.2,1.28,0.23,ESC-01
2019-01-01,2,Chuvoso,62.9,46.19,2748.81,4770.45,83.31,57,2.56,0.59,5.97,2.24,3.75,2.02,1.73,0.33,1.39,-1.15,1.47,ESC-01
2019-01-01,3,Chuvoso,46.99,26.71,1521.88,1141.02,81.6,14,4.07,0.64,6.06,3.21,2.81,2.06,0.74,0.35,0.39,-1.32,1.68,ESC-01
2019-01-02,1,Chuvoso,66.72,84.66,2131.23,7174.69,80.82,89,3.1,1.25,5.99,2.02,4,0.62,3.36,2.89,0.49,2.57,0.33,ESC-01
2019-01-02,2,Chuvoso,66.86,48.6,2712.4,5309.72,80.17,66,2.71,0.47,5.94,2.02,4,2.07,1.93,0.28,1.65,-1.2,1.5,ESC-01
2019-01-02,3,Chuvoso,66.05,64.87,1790.94,4582.72,81.75,56,3.17,0.83,6,2.02,4,1.42,2.6,1.06,1.51,-0.56,1.62,ESC-01
2019-01-02,4,Chuvoso,67.29,82.79,1791.52,5970.8,79.24,75,3.85,1.06,5.96,2.01,4,0.69,3.34,2.84,0.48,2.46,0.38,ESC-01
2019-01-03,1,Chuvoso,66.27,40.54,2733.56,4478.3,81.41,55,2.91,0.84,6.04,2,4,2.36,1.62,1.58,0.06,1.53,0.06,ESC-01
2019-01-03,2,Chuvoso,66.05,57.07,2402.15,5522.4,81.91,67,2.78,0.82,6.04,2.01,4,1.72,2.29,1.83,0.45,1.43,0.4,ESC-01
2019-01-03,3,Chuvoso,58.22,59.18,1947.63,3963.5,81.47,49,4.11,0.81,6.03,2.53,3.47,1.41,2.07,0.78,1.28,-0.77,1.56,ESC-01
2019-01-03,4,Chuvoso,50.02,41.95,1957.81,2411.02,78.41,31,3.18,0.83,6.06,2.99,2.98,1.73,1.24,0.48,0.77,-1.02,1.49,ESC-01
2019-01-04,1,Chuvoso,66.3,44.31,2124.44,3726.04,81.18,46,3.38,0.87,6.02,2.01,4,2.24,1.76,1.42,0.34,0.97,0.45,ESC-01
2019-01-04,2,Chuvoso,51.34,51.04,1358.53,2150.82,79.01,27,5.05,0.62,6.02,2.89,3.08,1.52,1.56,1.39,0.18,0.99,0.4,ESC-01
2019-01-04,3,Chuvoso,33.29,82.43,2453.13,4056.65,82.84,49,3.14,0.9,6.05,3.96,2,0.34,1.67,1.26,0.4,0.78,0.49,ESC-01
2019-01-04,4,Chuvoso,33.61,90.06,2141.43,3883.05,81.8,47,3.67,1.03,5.99,3.97,2,0.21,1.78,1.41,0.38,0.93,0.48,ESC-01
2019-01-05,1,Chuvoso,23.35,85.53,1718.25,2026.31,78.02,26,3.57,0.68,5.98,4.61,1.4,0.21,1.19,0.77,0.42,-0.2,0.97,ESC-01
2019-01-05,2,Chuvoso,13.2,81.5,1667.6,1082.77,83.31,13,3.9,0.75,5.96,5.24,0.79,0.14,0.65,0.31,0.33,-1.22,1.54,ESC-01
2019-01-05,3,Chuvoso,29.34,28.7,1909.11,960.76,79.87,12,5.04,1.31,5.96,4.21,1.77,1.27,0.51,0.18,0.33,-1.47,1.64,ESC-01
2019-01-05,4,Chuvoso,33.49,57.09,2341.92,2644.87,79.74,33,3.71,0.87,6.01,3.97,2,0.87,1.13,1.06,0.07,0.93,0.13,ESC-01
2019-01-06,1,Chuvoso,33.63,90.36,2357.03,4298,80.56,53,3.33,1.03,5.95,4.04,2,0.19,1.83,1.55,0.26,1.25,0.29,ESC-01
2019-01-06,2,Chuvoso,33.26,93.61,2074.42,3806.64,79.95,48,4.01,1.06,5.96,4.02,2,0.14,1.88,1.57,0.29,1.22,0.36,ESC-01
2019-01-06,3,Chuvoso,33.04,85.71,1944.8,3330.6,80.84,41,4.27,1.04,5.97,4.02,2,0.29,1.72,1.52,0.19,1.24,0.28,ESC-01
