id_ciclo,data_hora_inicio,turno,equipe,id_equipamento,id_carga,massa_transportada,carga_alvo,TVV,TFC,TMC,TC,TVC,TFB,TMB,TB,tempo_ciclo_total,dmt_total,tkph_viagem
1,2023-06-08T00:00:35Z,Noite,Turma C,HAUL-0029,LOAD-0001,367.93,430.41,9.75,3.47,1.32,3.19,8.38,0,0,0,26.17,1192.66,1278.2
2,2023-06-08T00:08:36Z,Noite,Turma C,HAUL-0021,LOAD-0001,337.54,430.65,6.17,0.98,1.75,2.74,4.79,0,0,1.59,18.15,364.81,389.23
3,2023-06-08T00:04:25Z,Noite,Turma C,HAUL-0017,LOAD-0001,393.78,431.19,5.99,2.41,0.99,2.94,11.76,0,0,1.27,25.19,1007.8,1075.85
4,2023-06-08T00:12:53Z,Noite,Turma C,HAUL-0018,LOAD-0001,369.21,431.64,2.99,3.95,1.22,3.03,3.98,0,0,1.54,16.82,404.85,418.23
5,2023-06-08T00:08:44Z,Noite,Turma C,HAUL-0027,LOAD-0001,357.22,433.63,6.69,2.71,1.06,3.27,9.92,0,0,1.11,24.65,992.76,1045.64
6,2023-06-07T23:57:14Z,Noite,Turma C,HAUL-0015,LOAD-0001,394.78,427.64,7.41,0,1.32,2.68,11.11,0,0,2.87,25.44,1178.97,1235.21
7,2023-06-10T22:20:16Z,Dia,Turma D,HAUL-0028,LOAD-0001,373.91,433.49,3.88,1.98,1.25,2.97,7.83,0,0,0.92,18.64,1269.52,1328.97
8,2023-06-10T22:03:54Z,Dia,Turma D,HAUL-0025,LOAD-0001,390.44,430.05,11.82,12.07,0.82,3.03,8.06,0,0,0.6,36.08,746.03,769.3
9,2023-06-10T22:02:19Z,Dia,Turma D,HAUL-0012,LOAD-0001,190.7,270.96,18.88,1.64,1.28,1.49,9.08,1.23,0,0.81,34.73,420.5,464.05
10,2023-06-10T22:04:14Z,Dia,Turma D,HAUL-0015,LOAD-0001,395.26,429.82,5.48,5.4,1.17,3,9.8,0,0,0.3,25.26,1342.28,1404.39
11,2023-06-16T21:29:01Z,Dia,Turma D,HAUL-0011,LOAD-0003,218.98,270.05,9.35,0,0.43,2.09,4.31,0,0,0,16.24,0,0
16,2023-06-21T10:49:09Z,Noite,Turma A,HAUL-0028,LOAD-0002,381.93,428.44,14.59,3.08,0.86,3.39,9.67,0,0,0.7,32.38,1509.11,1605.15
17,2023-06-21T10:54:26Z,Noite,Turma A,HAUL-0030,LOAD-0002,359.07,426.81,8.95,1.46,2.18,3.08,9.17,0.12,0,1.25,25.97,1477.12,1518.53
18,2023-06-21T10:56:45Z,Noite,Turma A,HAUL-0019,LOAD-0001,368.3,428.22,10.86,0,0.45,3.63,7.24,0.65,0,0.86,23.7,883.97,933.67
19,2023-06-23T13:17:59Z,Dia,Turma B,HAUL-0015,LOAD-0001,355.77,432.02,7.7,2.25,0.79,3.46,3.48,0,0,1,18.7,1532.16,1611.71
20,2023-06-23T13:10:41Z,Dia,Turma B,HAUL-0002,LOAD-0001,233.91,271.83,9.85,2.69,1,1.91,11.24,0.92,0,0.59,28.05,970.27,1067.07
21,2023-06-23T13:21:58Z,Dia,Turma B,HAUL-0010,LOAD-0003,250.03,271.42,9.4,3.15,1.13,2.41,8.02,1.14,0,0.73,25.97,571.75,620.25
22,2023-06-25T10:07:32Z,Noite,Turma A,HAUL-0015,LOAD-0001,412.89,431.89,7.92,0,1.63,3.28,6.11,0,0,1.68,20.43,613.69,642.03
23,2023-06-25T11:20:44Z,Noite,Turma A,HAUL-0010,LOAD-0003,214.8,269.14,3.74,5.27,0.98,2.57,5.68,0.29,0,0.6,19.2,297.53,327.74
24,2023-06-25T11:18:11Z,Noite,Turma A,HAUL-0028,LOAD-0001,391.63,427.49,8.36,0,0.45,3.42,12.62,0,0,0.75,25.6,1457.34,1559.25
25,2023-06-25T11:26:18Z,Noite,Turma A,HAUL-0017,LOAD-0002,358.11,431.53,5.68,2.22,1.29,3.96,5.72,0,0,0,18.77,818.42,862.13
26,2023-06-27T07:36:07Z,Noite,Turma C,HAUL-0016,LOAD-0002,379.17,433.21,5.75,0.2,0.97,2.64,5.07,0,0,1.79,16.45,868.31,907.99
28,2023-06-27T07:38:51Z,Noite,Turma C,HAUL-0012,LOAD-0001,236.34,270.3,5.31,4.42,1.37,1.88,8.03,0,0,0.74,21.67,442.44,473.52
29,2023-06-27T07:42:53Z,Noite,Turma C,HAUL-0029,LOAD-0002,387.06,426.3,4.95,0,0.53,2.26,5.25,0,0,1.34,14.38,882.8,940.88
