data,turno,DF,UF,produtividade_ht,producao_total,carga_media,num_viagens,tkph,dmt,vel_cheio,vel_vazio,vel_global,tempo_ciclo_total,tempo_fixo,tempo_viagem_cheio,tempo_viagem_vazio,tempo_carregamento,tempo_manobra,tempo_fila_carga,tempo_fila_basculo,tempo_basculo,HC,HM,HD,HO,HT,HTP,HTNP,HEF,HAO,id_equipamento
2019-01-01,1,50.19,71.54,312.19,663.09,239.24,11,1943.78,6.25,18.25,29.27,22.63,42.97,9.7,20.49,12.78,2.55,1,1.56,4.08,0.5,6.01,3.02,3,0.87,2.12,1.71,0.41,0,1.71,HAUL-006
2019-01-01,2,49.74,85.6,453.69,1143.71,241.95,19,2447.24,5.42,20.59,36.24,26.41,31.41,6.64,15.65,9.12,2.7,0.64,2.7,0.24,0.36,5.98,3.03,2.98,0.43,2.53,2.26,0.29,1.36,0.91,HAUL-006
2019-01-01,3,44.15,58.64,391.6,605.02,242.61,10,2312.55,5.96,19.91,31.26,24.24,34.31,4.78,18.13,11.4,2.56,0.54,0.38,0.85,0.45,6.03,3.36,2.66,1.11,1.53,1.44,0.11,0.76,0.67,HAUL-006
2019-01-01,4,50.5,39.41,364.18,433.16,245.13,7,1186.22,3.27,12.37,17.62,14.84,39.37,8.78,15.83,14.76,4.11,0.79,2.28,0.98,0.63,5.99,3,3,1.82,1.17,1.02,0.15,0,1.02,HAUL-006
2019-01-02,1,50.2,80.22,337.06,799.87,246.69,13,2123.07,6.38,19.06,30.51,23.61,39.3,6.37,19.95,12.97,3.22,0.73,1.19,0.7,0.54,6.02,3,3,0.61,2.39,2.11,0.29,0.78,1.32,HAUL-006
2019-01-02,2,47.35,84.86,347.88,849.82,244.35,14,2608.87,7.43,19.95,28.83,23.78,44.01,4.96,22.32,16.73,2.4,0.66,1.02,0.4,0.48,5.99,3.13,2.87,0.43,2.41,1.54,0.89,0,1.54,HAUL-006
2019-01-02,3,29.78,85.05,317.35,480.61,240.07,8,1914.21,5.96,14.27,23.35,18.66,54.37,6.34,24.89,23.14,3.18,1.15,0.49,1.18,0.35,6,4.25,1.79,0.28,1.51,1.51,0,1.5,0,HAUL-006
2019-01-02,4,48.59,78.04,396.93,920.77,243.13,15,1688.42,4.24,19.28,29.25,23.36,30.64,9.01,13.1,8.53,3.02,1.19,3.5,0.65,0.66,6.03,3.04,2.93,0.64,2.3,2.03,0.27,0.96,1.08,HAUL-006
2019-01-03,1,50.45,72.73,390.87,844.3,241.65,14,1973.26,5.06,19.94,25.91,22.44,35.63,8.38,15.27,11.98,3.01,1.29,2.52,1,0.57,6.02,3,3,0.83,2.16,1.8,0.38,0.19,1.61,HAUL-006
2019-01-03,2,44.1,77.44,377.64,776.39,238.76,13,2425.63,6.36,21.73,33.89,26.88,37.97,7.44,17.65,12.88,3.25,0.88,2.46,0.42,0.44,5.97,3.32,2.66,0.62,2.04,1.78,0.26,0.56,1.22,HAUL-006
2019-01-03,3,50.23,85.44,451.31,1170.33,244.39,19,2243.52,4.9,17.3,31.51,22.31,32.68,6.24,16.97,9.47,3.29,0.62,1.43,0.46,0.44,6.04,2.98,3,0.45,2.57,2.17,0.38,0.97,1.21,HAUL-006
2019-01-03,4,50.16,83.16,339.53,854.58,242.07,14,2194.05,6.54,17.78,27.14,21.35,43.31,7.08,22.19,14.05,3.41,1.18,1.56,0.47,0.45,6.01,3,3,0.49,2.51,1.35,1.15,0,1.35,HAUL-006
2019-01-04,1,50.08,80.26,340.86,818.21,250.44,13,1873.14,5.53,17.47,28.13,21.96,41.68,8.29,18.97,14.42,3.05,1.06,2.4,1.33,0.44,5.99,2.98,3,0.6,2.39,1.54,0.85,0,1.54,HAUL-006
2019-01-04,2,50.09,72.69,349.24,766.02,235.04,13,2220.79,6.37,19.94,27.15,23.13,41.82,7.72,19.19,14.91,3.71,0.78,2.07,0.54,0.62,6.04,3,3,0.81,2.19,2.11,0.08,1.75,0.37,HAUL-006
2019-01-04,3,50.37,91.42,360.05,983.9,247.58,16,2392.4,6.54,19.61,30.88,24.22,40.84,6.53,20.14,14.17,3.46,0.74,1.55,0.36,0.42,5.95,3.01,3,0.27,2.7,2.55,0.18,1.9,0.67,HAUL-006
2019-01-04,4,49.6,84.37,349.24,869.64,249.59,13,2503.07,7.18,19.21,29.43,23.25,42.87,6.33,22.24,14.3,4.01,0.41,1.38,0.19,0.33,5.96,3.02,3,0.48,2.53,1.61,0.91,0,1.61,HAUL-006
2019-01-05,1,49.92,89.35,299.55,788.02,243.96,13,1670.2,5.63,13.09,20.49,16.03,47.21,4.92,25.65,16.63,2.55,0.72,0.44,0.33,0.89,5.97,3.02,3,0.34,2.67,2.34,0.32,0.88,1.46,HAUL-006
2019-01-05,2,50.37,81.34,338.02,829.27,238.18,14,2107.61,6.22,18.69,28.25,22.99,43.82,8.38,19.78,15.65,2.87,1.07,2.94,0.99,0.5,6.01,2.98,3,0.55,2.46,2.41,0.04,2.24,0.17,HAUL-006
2019-01-05,3,49.52,66.62,342.23,675.44,246.16,11,2135.23,6.26,17.95,27.47,21.05,37.79,7.67,20.72,9.4,3.37,0.85,2.21,0.85,0.38,6.05,3.04,2.98,1.01,1.97,1.68,0.3,0.05,1.62,HAUL-006
2019-01-05,4,49.89,79.36,333.56,789.26,243.41,13,1679.74,5.03,17.09,27.27,21.87,43.46,9.09,17.85,16.53,3.34,0.46,1.74,2.74,0.81,5.99,3.03,3,0.63,2.36,2.37,0,2.39,0,HAUL-006
