data,frota,DF,UF,MTBF,MTTR,num_falhas,produtividade_h,producao_total,HC,HM,HMC,HMP,HT,HEF,id_equipamento
2019-08-01,Cat 793D,80.79,82.18,25.54,3.68,19,368.88,176247.85,744,146.94,70.08,76.87,486.49,476.39,HAUL-0025
2019-09-01,Cat 793D,75.89,80.82,23.06,5.13,19,313.96,136471.64,720,171.65,97.08,74.57,442.14,435.95,HAUL-0025
2019-10-01,Cat 793D,79.06,82,43.33,2.15,11,309.11,146842.32,744,157.94,23.57,134.37,477.83,470.68,HAUL-0025
2019-11-01,Cat 793D,85.59,80.58,33.04,2.37,15,300.02,145162.71,720,106.19,35.07,70.31,498.81,491.68,HAUL-0025
2019-12-01,Cat 793D,83.48,85.25,33.35,2.72,16,295.96,155385.13,744,122.34,43.23,79.1,531.92,522.32,HAUL-0025
2020-01-01,Cat 793D,81.15,80.94,26.79,5.28,18,285.68,136093.52,744,142.66,90.99,47.48,483.12,476.85,HAUL-0025
2020-02-01,Cat 793D,62.98,75.45,17.9,3.47,18,285.31,91070.28,672,248.05,61.85,186.2,321.47,316.07,HAUL-0025
2020-03-01,Cat 793D,86.55,83.83,29.84,2.99,18,311.26,165381.04,744,97.55,45.03,44.04,539.13,526.78,HAUL-0025
2020-04-01,Cat 793D,66.09,84.27,26.69,4.2,15,305.99,121030.99,720,247.73,62.39,184.31,399.21,393.41,HAUL-0025
2020-05-01,Cat 793D,84.33,87.74,39.79,3.66,14,419.38,223628.53,744,111.75,51.65,60.1,556.42,538.17,HAUL-0025
2020-06-01,Cat 793D,68.92,86.16,70.15,2.47,6,400.38,164379.91,720,227.73,14.77,212.96,424.21,409.26,HAUL-0025
2020-07-01,Cat 793D,87.55,89.4,40.63,3.66,14,358.57,198852.29,744,98.51,50.75,47.76,572.02,557.58,HAUL-0025
2020-08-01,Cat 793D,87.96,90,98.68,4.58,6,346.9,194841.35,744,92.25,27.65,64.6,591.86,571.31,HAUL-0025
2020-09-01,Cat 793D,81.46,90.42,88.51,9.29,6,323,164094.1,720,133.7,55.94,77.75,527.6,505,HAUL-0025
2020-10-01,Cat 793D,86.55,87.39,31.04,2.33,18,336.27,180356.83,744,99.42,41.98,57.44,560.08,531.94,HAUL-0025
2020-11-01,Cat 793D,92.46,87.73,115.35,2.33,5,348.07,188527.75,720,58.82,11.55,47.27,577.39,544.65,HAUL-0025
2020-12-01,Cat 793D,87.86,83.55,54.91,5.86,10,317.02,166003.14,744,85.15,59.07,26.08,550.41,521.57,HAUL-0025
2019-08-01,Cat 793D,81.27,85,39.83,3.8,13,364.05,186385.48,744,143.73,49.76,93.97,514,507.97,HAUL-0026
2019-09-01,Cat 793D,87.51,79.49,56.49,2.7,9,320.79,161123.25,720,85.22,24.09,61.13,508.72,499.1,HAUL-0026
2019-10-01,Cat 793D,86.17,82.26,132.76,12.16,4,319.37,167607.27,744,100.27,48.7,51.57,529.94,521.96,HAUL-0026
2019-11-01,Cat 793D,91.48,83.35,111.94,1.82,5,324.79,175598.4,720,55.31,9.1,46.21,555.94,548.41,HAUL-0026
2019-12-01,Cat 793D,77.97,83.03,37.47,8.31,13,317.16,151844.25,744,159.36,101.67,51.11,484.29,479.85,HAUL-0026
2020-01-01,Cat 793D,89.57,81.13,89.87,4.37,6,315.49,167292.35,744,79.99,26.18,53.81,535.94,530.21,HAUL-0026
2020-02-01,Cat 793D,91.34,83.26,55.88,2.6,9,317.88,161728.55,672,62.44,23.52,38.92,508,501.79,HAUL-0026
2020-03-01,Cat 793D,79.06,84.08,45.02,3,11,307.86,148578.96,744,159.27,33.21,126.06,491.61,481.39,HAUL-0026
2020-04-01,Cat 793D,75.24,80.32,36.7,9.28,12,329.29,141203.55,720,176.02,110.41,65.61,438.9,428.68,HAUL-0026
2020-05-01,Cat 793D,62.75,83.3,23.05,5.56,17,353.49,134245.78,744,278.2,93.98,184.21,391.22,380.09,HAUL-0026
2020-06-01,Cat 793D,75.66,82.44,17.93,3.81,25,391.98,172778.61,720,178.67,95.71,82.96,448.36,434.31,HAUL-0026
2020-07-01,Cat 793D,86.74,89.68,147.04,4.75,4,379.32,215245,744,92.16,18.96,73.2,587.59,569.59,HAUL-0026
2020-08-01,Cat 793D,86.25,90.81,65.47,4.11,9,354.71,204080.54,744,96.1,36.72,59.38,594.19,574.98,HAUL-0026
2020-09-01,Cat 793D,90.28,89.54,193.74,0.9,3,361.56,203527.6,720,69.22,2.68,66.54,579.37,558.82,HAUL-0026
2020-10-01,Cat 793D,84.53,88.21,47.27,8.71,12,326.19,177593.48,744,112.41,104.23,8.19,562.23,537.74,HAUL-0026
2020-11-01,Cat 793D,90.61,81.98,53.82,3.14,10,379.63,197464.47,720,63.37,31.55,31.82,538.77,521.26,HAUL-0026
2019-08-01,Cat 793D,77.09,82.97,31.52,4.6,15,341.2,157214.17,744,175.85,68.61,107.24,474.83,468.64,HAUL-0027
2019-09-01,Cat 793D,90.68,78.94,47.25,3.55,11,313.57,157889.93,720,69.37,38.69,30.68,518.16,510.07,HAUL-0027
2019-10-01,Cat 793D,88.19,82.24,33.6,2.53,16,337.49,180141.25,744,90.24,39.15,49.42,539.72,530.28,HAUL-0027
2019-11-01,Cat 793D,85.55,78.78,61.61,3.38,8,308.54,148131.66,720,98.5,27.14,71.36,490.43,483.44,HAUL-0027
2019-12-01,Cat 793D,81.64,82.39,22.71,3.65,22,301.36,148696.15,744,142.17,80.23,61.94,498.3,490.96,HAUL-0027
2020-01-01,Cat 793D,81.12,80.44,27.43,4.03,18,319.19,154618.32,744,134.63,72.76,61.87,491.55,485.1,HAUL-0027
2020-02-01,Cat 793D,82.99,83.79,78.28,8.81,6,323.22,148613.34,672,115.95,53.37,62.58,469.37,461.1,HAUL-0027
2020-03-01,Cat 793D,89.9,86.39,57.35,3.38,10,314.67,175606.11,744,80.12,34.06,46.06,571.45,559.48,HAUL-0027
2020-04-01,Cat 793D,76.92,83.12,24.12,6.84,19,306.29,134121.65,720,170.71,122.31,41.92,455.27,443.86,HAUL-0027
2020-05-01,Cat 793D,92.13,78.79,30.17,2.35,18,349.55,183011.53,744,60.23,41.87,18.36,539.9,521.71,HAUL-0027
2020-06-01,Cat 793D,78.55,81.02,28.51,5.01,16,367.09,160207.69,720,153.24,79.44,73.8,457.9,443.29,HAUL-0027
2020-07-01,Cat 793D,76.19,87.92,38.03,2.83,13,371.09,175763.14,744,181.08,36.55,144.53,494.32,476.07,HAUL-0027
2020-08-01,Cat 793D,82.1,92.21,30.01,1.66,3,257.33,23169.03,120,21.38,4.99,16.39,90.39,89.25,HAUL-0027
2019-08-01,Cat 793D,80.13,85.34,39.65,4.72,13,368.72,186275.45,744,146.84,39.65,85.92,512.1,505.69,HAUL-0028
2019-09-01,Cat 793D,83.29,82.77,55.02,5.88,9,319.31,155534.19,720,117.68,52.83,64.84,496.21,486.85,HAUL-0028
2019-10-01,Cat 793D,31.44,81.2,62.71,5.79,3,286.9,53169.81,744,510.77,17.43,493.34,188.65,185.8,HAUL-0028
2019-11-01,Cat 793D,0,100.78,24.13,0,0,0,0,720,720,0,720,0,0,HAUL-0028
2019-12-01,Cat 793D,0,100.87,24.17,0,0,0,0,744,744,0,744,0,0,HAUL-0028
2020-01-01,Cat 793D,0.03,0,23.91,0,0,0,0,744,743.77,0,743.77,0,0,HAUL-0028
2020-02-01,Cat 793D,0,100.87,24.02,0,0,0,0,672,672,0,672,0,0,HAUL-0028
2020-03-01,Cat 793D,0,99.68,23.89,0,0,0,0,384,384,0,384,0,0,HAUL-0028
2019-08-01,Cat 793D,85,82.63,65.74,3.21,8,373.96,188757.46,744,114.81,25.49,89.32,522.97,510.03,HAUL-0029
2019-09-01,Cat 793D,80.68,81.9,52.62,6.68,9,371.03,168202.66,720,141.58,50.54,81.86,470.61,461.1,HAUL-0029
2019-10-01,Cat 793D,89.34,85.8,575.9,0.46,1,316.89,180667.49,744,72.88,0.46,72.42,572.29,564.95,HAUL-0029
2019-11-01,Cat 793D,86.3,82.43,64.55,3.52,8,320.41,166113.85,720,94.78,28.26,66.52,519.93,513.62,HAUL-0029
2019-12-01,Cat 793D,78.71,83.14,48.73,7.04,10,307.55,148231.91,744,157.88,70.99,86.89,489.71,481.52,HAUL-0029
2020-01-01,Cat 793D,79.15,82.12,47.75,6.45,10,327.9,156858.58,744,152.52,36.64,87.67,481.38,474.44,HAUL-0029
2020-02-01,Cat 793D,74.71,84.08,35.28,6.51,12,327.89,136844.91,672,165.66,77.93,87.73,424.27,417.34,HAUL-0029
2020-03-01,Cat 793D,36.6,82.46,20.3,23.15,11,335.35,74898.14,744,471.31,243.74,218.13,224.59,221.46,HAUL-0029
2020-04-01,Cat 793D,62.4,82.11,21.97,12.76,17,313.2,112269.99,720,269.59,209.93,51.45,372.71,363.9,HAUL-0029
2020-05-01,Cat 793D,88.94,87.38,143.47,3.23,4,403.18,224483.22,744,84.09,12.82,71.27,575.78,551.77,HAUL-0029
2020-06-01,Cat 793D,91.89,83.28,55.18,2.66,10,358.12,189798.47,720,55.86,26.75,29.11,556.53,534.19,HAUL-0029
2020-07-01,Cat 793D,82.83,84.92,32.62,3.66,16,326.76,166785.24,744,131.61,59.05,72.56,523.66,511.85,HAUL-0029
2020-08-01,Cat 793D,86.76,82.24,43.89,3.67,12,363.58,186183.01,744,103.46,43.87,59.59,527.64,505.62,HAUL-0029
2020-09-01,Cat 793D,85.15,78.16,34.31,2.28,14,345.28,160308.4,720,109.56,31.85,77.71,481.8,457.49,HAUL-0029
2020-10-01,Cat 793D,86.95,80.07,51.5,2.43,10,330.35,162640.1,744,94.58,24.19,70.39,518.51,496.6,HAUL-0029
2020-11-01,Cat 793D,76.25,65.54,18.97,4.22,19,334.69,115215.55,720,168.64,62.85,87.98,360.11,340.87,HAUL-0029
2020-12-01,Cat 793D,84.47,61.78,35.03,2.99,11,292.65,108057.09,744,117.41,32.66,84.75,385.48,368.08,HAUL-0029
2019-08-01,Cat 793D,66.3,74.05,21.56,7.17,17,351.06,125951.38,744,247.77,122.04,125.73,365.95,358.07,HAUL-0030
2019-09-01,Cat 793D,52.84,76.39,11.99,3.64,24,336.61,94296.03,720,340.55,86.81,253.74,288.17,284.57,HAUL-0030
2019-10-01,Cat 793D,86.38,80.94,43.27,4.18,12,340.87,178163.44,744,100.63,38.37,50.22,522.83,515.06,HAUL-0030
2019-11-01,Cat 793D,85.49,82.64,36.31,2.37,14,307.18,155106.93,720,102.15,33.22,68.93,512.53,508,HAUL-0030
2019-12-01,Cat 793D,82.22,85.01,43.55,3.72,12,323.7,166381.58,744,134.8,24,90.39,522.33,516.19,HAUL-0030
2020-01-01,Cat 793D,80.27,82.58,19.55,3.45,25,309.91,151598.98,744,144.17,86.37,57.81,492.53,488.45,HAUL-0030
2020-02-01,Cat 793D,77.56,82.43,27.22,5.7,16,301.44,127308.88,672,145.94,91.11,54.83,434.57,428.37,HAUL-0030
2020-03-01,Cat 793D,70.21,85.01,14.56,4.4,30,300.39,131083.18,744,223.4,132.05,91.35,438.54,431.42,HAUL-0030
2020-04-01,Cat 793D,56.73,85.14,19.13,13.96,18,320.05,108953.23,720,309.22,160.18,59.92,347.11,340.44,HAUL-0030
2020-05-01,Cat 793D,62.81,85.13,65.87,4.23,6,357.36,138368.98,744,273.83,25.6,248.23,397.75,384.41,HAUL-0030
2020-06-01,Cat 793D,91.09,86.8,114.57,1.87,5,406.82,223585.56,720,60.76,9.36,51.41,568.69,547.35,HAUL-0030
2020-07-01,Cat 793D,86.27,88.4,40.48,2.65,14,350.72,193619.84,744,102.15,37.3,64.85,562.42,545.41,HAUL-0030
2020-08-01,Cat 793D,79.33,81.9,44.7,3.65,11,338.61,159910.02,744,148.03,40.39,107.64,491.23,471.02,HAUL-0030
2020-09-01,Cat 793D,57.19,81.66,14.59,7.85,23,365.4,117704.39,720,309.78,181.94,127.84,335.36,319.1,HAUL-0030
2020-10-01,Cat 793D,61.9,75.12,16.18,9.03,21,332.28,107621.31,744,283.34,190.4,92.95,343.05,327.91,HAUL-0030
2020-11-01,Cat 793D,45.17,68.87,14.66,8.6,15,323.52,64205.34,720,397.84,123.47,268.71,220.08,201.11,HAUL-0030
2020-12-01,Cat 793D,77.26,63.2,33.14,12.48,11,317.22,109724.78,744,166.97,138.41,28.56,365.26,345.02,HAUL-0030
2021-06-01,Cat 793D,89.1,82.02,31.03,2.48,8,357.76,86669.29,336,34.32,19.84,14.48,249.21,239.74,HAUL-0030
2021-07-01,Cat 793D,93.65,85.64,98.74,5.01,6,351.53,193070.51,744,52.18,29.88,22.3,587.05,558.11,HAUL-0030
2021-08-01,Cat 793D,90.27,85.3,81.02,4.24,7,369.62,199522.74,744,73.06,29.5,43.56,569.54,539.34,HAUL-0030
2021-09-01,Cat 793D,91.65,80.4,75.37,4.25,7,358.58,180913.52,720,65.47,29.73,35.75,525.65,498.56,HAUL-0030
2021-10-01,Cat 793D,95.72,83.66,597.07,2.33,1,361.71,205842.75,744,33.67,2.34,31.34,596.99,565.04,HAUL-0030
2021-11-01,Cat 793D,92.74,78.51,105.26,3.1,5,345.97,173397.92,720,46.07,15.39,30.67,530.73,503.31,HAUL-0030
2021-12-01,Cat 793D,91.1,71.03,119.91,8.2,4,340.12,153713.76,744,69.56,14.12,37.02,476.97,457.43,HAUL-0030
2022-01-01,Cat 793D,92.64,67.05,115.36,4.84,4,347.87,152889.17,744,50.33,13.65,31.02,461.77,438.89,HAUL-0030
2022-02-01,Cat 793D,77.13,67.76,43.61,6.93,8,324.02,110431.07,672,156.16,54.94,101.21,352.13,340.89,HAUL-0030
2022-03-01,Cat 793D,83.35,63.43,78.77,2.35,5,327.77,126908.66,744,123.94,11.7,112.24,393.61,384.43,HAUL-0030
2022-04-01,Cat 793D,84.72,69.95,71.33,5.21,6,378.1,158785.31,720,115.72,31.33,84.38,424.15,414.83,HAUL-0030
2022-05-01,Cat 793D,91.41,78.75,77.06,3.45,7,318.13,164317.39,744,64.89,24.26,40.64,539.59,519.04,HAUL-0030
2022-06-01,Cat 793D,92.08,78.42,173.81,2.32,3,326.28,165851.59,720,54.2,6.91,47.29,521.58,506.28,HAUL-0030
2022-07-01,Cat 793D,82.78,78.88,80.21,6.59,6,351.35,163939.94,744,130.17,39.84,90.33,479.78,463.28,HAUL-0030
2022-08-01,Cat 793D,83.83,83.09,57.7,8.36,9,366.57,181283.41,744,116.82,75.72,41.1,519.96,492.19,HAUL-0030
2022-09-01,Cat 793D,89.32,83.8,53.43,4.03,10,350.31,176645.74,720,77.26,40.57,36.69,535.81,510.97,HAUL-0030
2022-10-01,Cat 793D,88.05,84.53,110.13,2.75,5,341.21,184111.36,744,85.76,10.82,71.89,555.16,530.25,HAUL-0030
2022-11-01,Cat 793D,88.31,81.39,73.05,3.92,7,343.43,168640.52,720,88.28,27.48,60.8,509.09,489.38,HAUL-0030
2022-12-01,Cat 793D,85.99,79.33,84.96,5.38,6,323.51,161759.76,744,99.77,32.09,67.68,512.64,494,HAUL-0030
2023-01-01,Cat 793D,93.39,77.54,78.3,2.33,7,376.91,193729.23,743.98,43.08,10.25,26.6,545.16,523.18,HAUL-0030
2023-02-01,Cat 793D,84.38,78.81,116.87,8.93,4,306.9,138746.28,695.98,105.71,7.83,70.1,463.44,446.49,HAUL-0030
2023-03-01,Cat 793D,87.94,77.18,50.69,5.33,10,295.6,143001,743.98,93.66,35.28,40.6,503.31,484.26,HAUL-0030
2023-04-01,Cat 793D,54.45,76.61,44.02,21.89,7,278.05,84040.88,719.99,324.59,152.52,172.07,305.8,300.46,HAUL-0030
2023-05-01,Cat 793D,87.37,82.22,38.21,3.31,14,316.95,165628.96,743.98,95.55,40.39,48.75,529.73,522.32,HAUL-0030
2023-06-01,Cat 793D,88.96,70.87,41.07,3.91,11,326.68,146430.95,719.98,83.46,29.56,40.26,455.02,447.72,HAUL-0030
2023-07-01,Cat 793D,88.04,76.42,85.28,4.51,6,313.14,158611.18,744,83.54,15.95,56.49,507.87,501.32,HAUL-0030
2023-08-01,Cat 793D,87.12,83.02,181.08,2.59,3,318.94,170349.49,743.99,94.61,7.76,86.85,542.2,535.5,HAUL-0030
2023-09-01,Cat 793D,86.18,80.24,62.67,2.93,8,277.87,137733.09,720,104.49,23.31,81.18,498.35,493.46,HAUL-0030
2023-10-01,Cat 793D,83.92,80.31,83.21,3.12,6,303.22,147310.92,743.99,123.9,18.89,105.02,496.29,488.43,HAUL-0030
2023-11-01,Cat 793D,90.91,69.52,76.82,4.33,6,285.72,127662.32,719.99,61.08,25.98,35.1,461.37,451.01,HAUL-0030
