data,id_equipamento,tipo_ordem,custo_outros,custo_pecas,custo_insumos,custo_total
2023-02-01,HAUL-0001,YCM,9140.96,0,0,9140.96
2023-02-01,HAUL-0001,YEM,813.19,0,0,813.19
2023-02-01,HAUL-0001,YPM,70286.44,3506.5,0,73792.94
2023-02-01,HAUL-0002,YCM,106361.5,0,0,106361.5
2023-02-01,HAUL-0002,YCO,4567.6,0,0,4567.6
2023-02-01,HAUL-0002,YEM,1579.27,0,0,1579.27
2023-02-01,HAUL-0002,YIM,23351.2,0,0,23351.2
2023-02-01,HAUL-0002,YPM,5976.17,93.05,0,6069.22
2023-02-01,HAUL-0002,YRR,8253,0,0,8253
2023-02-01,HAUL-0003,YRR,42599.24,0,0,42599.24
2023-02-01,HAUL-0004,YCM,1294.47,0,0,1294.47
2023-02-01,HAUL-0004,YEM,141794.12,0,0,141794.12
2023-02-01,HAUL-0004,YPM,19274.26,0,0,19274.26
2023-02-01,HAUL-0004,YRR,11370.85,0,0,11370.85
2023-02-01,HAUL-0005,YCM,15583.82,0,0,15583.82
2023-02-01,HAUL-0005,YPM,6418.73,88.6,0,6507.33
2023-02-01,HAUL-0006,YCM,12829.82,0,0,12829.82
2023-02-01,HAUL-0006,YCO,72601.84,0,0,72601.84
2023-02-01,HAUL-0006,YEM,328.28,0,0,328.28
2023-02-01,HAUL-0006,YPM,20645.82,1076.31,0,21722.13
2023-02-01,HAUL-0006,YRR,7813.08,0,0,7813.08
2023-02-01,HAUL-0007,YCM,18875,1070.44,0,19945.44
2023-02-01,HAUL-0007,YCO,41.4,0,0,41.4
2023-02-01,HAUL-0007,YEM,33725.5,0,0,33725.5
2023-02-01,HAUL-0007,YPM,20989.96,0,0,20989.96
2023-02-01,HAUL-0007,YRR,30984.96,0,0,30984.96
2023-02-01,HAUL-0008,YCM,69728.07,0,0,69728.07
2023-02-01,HAUL-0008,YCO,14123.87,0,0,14123.87
2023-02-01,HAUL-0008,YPM,22287.34,1053.37,0,23340.71
2023-02-01,HAUL-0008,YRR,11745.59,0,0,11745.59
2023-02-01,HAUL-0010,YCM,5389,0,0,5389
2023-02-01,HAUL-0010,YPM,989.84,0,0,989.84
2023-02-01,HAUL-0010,YRR,15197.37,124.49,0,15321.86
2023-02-01,HAUL-0011,YRR,4363.75,0,0,4363.75
2023-02-01,HAUL-0012,YCM,20451.91,0,0,20451.91
2023-02-01,HAUL-0012,YEM,7446.97,0,0,7446.97
2023-02-01,HAUL-0012,YPM,22383.69,1000.81,0,23384.5
2023-02-01,HAUL-0012,YRR,1761.87,0,0,1761.87
2023-02-01,HAUL-0013,YCM,39764.55,0,0,39764.55
2023-02-01,HAUL-0013,YEM,1066.88,0,0,1066.88
2023-02-01,HAUL-0013,YPM,25432.22,1726.11,0,27158.33
2023-02-01,HAUL-0013,YRR,0,0,0,0
2023-02-01,HAUL-0014,YCM,32541.92,0,0,32541.92
2023-02-01,HAUL-0014,YPM,26212.12,1685.04,0,27897.16
2023-02-01,HAUL-0014,YRR,91720.5,0,0,91720.5
2023-02-01,HAUL-0015,YCM,10597.16,0,49.02,10646.18
2023-02-01,HAUL-0015,YPM,22335.43,999.81,0,23335.24
2023-02-01,HAUL-0015,YRR,23.57,0,0,23.57
2023-02-01,HAUL-0016,YCM,5257.32,0,0,5257.32
2023-02-01,HAUL-0016,YCO,625.28,0,0,625.28
2023-02-01,HAUL-0016,YEM,647.52,0,0,647.52
2023-02-01,HAUL-0016,YPM,6722.49,92.94,0,6815.429999999999
2023-02-01,HAUL-0017,YCM,13423.07,0,0,13423.07
2023-02-01,HAUL-0017,YEM,479.49,0,0,479.49
2023-02-01,HAUL-0017,YPM,67544.53,3638.49,0,71183.02
2023-02-01,HAUL-0018,YCM,6590.89,0,0,6590.89
2023-02-01,HAUL-0018,YCO,7938.89,0,0,7938.89
2023-02-01,HAUL-0018,YPM,73743.51,3657.49,0,77401
2023-02-01,HAUL-0018,YRR,42106.09,0,0,42106.09
2023-02-01,HAUL-0020,YCM,21288.35,0,0,21288.35
2023-02-01,HAUL-0020,YCO,1253.66,0,0,1253.66
2023-02-01,HAUL-0020,YEM,5260.15,0,0,5260.15
2023-02-01,HAUL-0020,YIM,23627.83,0,0,23627.83
2023-02-01,HAUL-0020,YPM,6515.76,89.54,0,6605.3
2023-02-01,HAUL-0021,YCM,24665.74,0,0,24665.74
2023-02-01,HAUL-0021,YCO,15872.06,0,0,15872.06
2023-02-01,HAUL-0021,YPM,7014.82,647.39,0,7662.21
2023-02-01,HAUL-0021,YRR,26143.06,0,0,26143.06
