unidade,data_inicio,inicio,fim,duracao_h,num_ordem,tipo_ordem,status_ordem,previsao,atualizacao,categoria,mp_intervalo,is_preventiva,sistema,conjunto,item,descricao,problema,solucao,comentario,localizacao,id_equipamento
Mina A,2018-10-24,2018-10-24T06:00:00Z,2019-07-26T23:57:48Z,6672.86,201901006851,Mãe,Fechada,2019-10-26T20:30:00Z,2019-08-02T04:04:17Z,HMC,NA,FALSE,ESTRUTURA,CHASSIS,CHASSIS,HMC - EXEC MANUT,Quebra,Reformar,TRINCA NO CHASSIS .,HMC - EXEC MANUT,HAUL-0059
Mina A,2018-11-28,2018-11-28T14:41:50Z,2019-01-09T14:17:27Z,1007.11,201904274233,Mãe,Fechada,NA,2019-01-09T14:50:04Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,MOTOR DE COMBUSTAO,MOTOR DE COMBUSTAO,HMC - EXEC MANUT,Lubrificacao,Avaliar,BAIXA PRESSÃO DO ÓLEO DO MOTOR (APAGOU O MOTOR) / SUBSTITUIR MOTOR DIESEL,HMC - EXEC MANUT,HAUL-0177
Mina A,2018-11-30,2018-11-30T13:39:50Z,2019-03-07T11:51:45Z,2350.87,201901006851,Filha,Fechada,2018-12-26T16:00:00Z,2019-07-25T23:34:40Z,HMC,NA,FALSE,ESTRUTURA,CHASSIS,CHASSIS,HMC - EXEC MANUT,Quebra,Reformar,TRINCA NO CHASSIS,CENTRAL N4E,HAUL-0059
Mina A,2018-12-10,2018-12-10T11:56:01Z,2019-01-04T19:49:12Z,607.87,201903986572,Mãe,Fechada,2018-12-17T20:00:00Z,2019-01-04T23:34:48Z,MPS,250,TRUE,REVISÃO DE 250H,REVISÃO DE 250H,REVISÃO DE 250H,MPS - EXEC MANUT,Revisão De 250h,Revisão De 250h,PLANO DE REVISAO 793D 250 HS,MPS - EXEC MANUT,HAUL-0084
Mina A,2018-12-12,2018-12-12T10:00:00Z,2019-01-04T19:45:56Z,564.91,201903986572,Filha,Fechada,1968-12-31T06:00:00Z,2019-01-04T23:34:48Z,MPS,250,TRUE,REVISÃO DE 250H,REVISÃO DE 250H,REVISÃO DE 250H,MPS - EXEC MANUT,Revisão De 250h,Revisão De 250h,PLANO DE REVISAO 793D 250 HS,OFC N4E,HAUL-0084
Mina A,2018-12-16,2018-12-16T08:01:16Z,2019-01-06T23:59:59Z,520.02,201904503959,Mãe,Fechada,NA,2019-01-07T15:02:28Z,MPNS,NA,FALSE,ESTRUTURA,BASCULA,FIXACOES,MPNS - EXEC MANUT,Fixacao,Trocar,REMOÇÃO DOS COMPONENTES PARA BAIXA DO ATIVO,MPNS - EXEC MANUT,HAUL-0092
Mina A,2018-12-16,2018-12-16T14:25:03Z,2019-01-13T02:44:30Z,665.59,201904491378,Mãe,Fechada,2018-12-26T20:00:00Z,2019-01-13T06:10:00Z,MPNS,NA,FALSE,MOTOR DE COMBUSTAO,LUBRIFICACAO,OLEO,MPNS - EXEC MANUT,Nivel Baixo,Avaliar,ALARME DE NIVEL DE ÓLEO DO MOTOR / BAIXA PRESSÃO DE ÓLEO DO MOTOR / SUBSTITUIR MOTOR DIESEL,MPNS - EXEC MANUT,HAUL-0166
Mina A,2018-12-19,2018-12-19T14:53:57Z,2019-02-22T10:58:26Z,1544.49,202000250331,Mãe,Fechada,2019-02-19T20:00:00Z,2019-02-22T13:15:42Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,MOTOR DE COMBUSTAO,MOTOR DE COMBUSTAO,HMC - EXEC MANUT,Fixacao,Ajustar,SUBSTITUIR MOTOR DIESEL,HMC - EXEC MANUT,HAUL-0178
Mina A,2018-12-23,2018-12-23T23:25:08Z,2019-01-09T14:17:27Z,400.03,201904274233,Filha,Fechada,1968-12-31T12:00:00Z,2019-01-09T14:50:04Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,MOTOR DE COMBUSTAO,MOTOR DE COMBUSTAO,HMC - EXEC MANUT,Lubrificacao,Avaliar,BAIXA PRESSÃO DO ÓLEO DO MOTOR (APAGOU O MOTOR),N5E-OFICINA,HAUL-0177
Mina A,2018-12-24,2018-12-24T18:51:19Z,2019-01-06T23:59:59Z,317.59,201904503959,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-07T15:02:28Z,MPNS,NA,FALSE,ESTRUTURA,BASCULA,FIXACOES,MPNS - EXEC MANUT,Fixacao,Trocar,REMOÇÃO DOS COMPONENTES PARA BAIXA DO ATIVO,N5E-OFICINA,HAUL-0092
Mina A,2018-12-24,2018-12-24T20:00:58Z,2019-01-07T21:15:26Z,336.8,201904491378,Filha,Fechada,1968-12-31T12:00:00Z,2019-01-13T06:10:00Z,MPNS,NA,FALSE,MOTOR DE COMBUSTAO,LUBRIFICACAO,OLEO,MPNS - EXEC MANUT,Nivel Baixo,Avaliar,ALARME DE NIVEL DE ÓLEO DO MOTOR / BAIXA PRESSÃO DE ÓLEO DO MOTOR,N5E-OFICINA,HAUL-0166
Mina A,2018-12-26,2018-12-26T16:06:03Z,2019-01-01T12:32:02Z,141.7,201904605143,Mãe,Fechada,NA,2019-01-01T14:40:23Z,MPNS,NA,FALSE,PROPULSAO E RETARDO,ALTERNADOR PRINCIPAL,ALTERNADOR PRINCIPAL,MPNS - EXEC MANUT,Queima,Trocar,SUBSTITUIR ALTERNADOR PRINCIPAL E FLEXPLAY DO MOTOR,MPNS - EXEC MANUT,HAUL-0147
Mina A,2018-12-27,2018-12-27T16:07:12Z,2019-01-07T14:29:48Z,263.19,201904533711,Filha,Fechada,1968-12-29T21:00:00Z,2019-02-22T13:15:42Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,MOTOR DE COMBUSTAO,MOTOR DE COMBUSTAO,HMC - EXEC MANUT,Fixacao,Ajustar,CORTE NO MOTOR DIESEL / BAIXO NIVEL DO ÓLEO DO MOTOR,N4WN-TENDA DE MANUTENÇÃO,HAUL-0178
Mina A,2018-12-28,2018-12-28T11:51:58Z,2019-01-10T17:09:07Z,314.26,201904630559,Mãe,Fechada,NA,2019-01-10T22:32:55Z,MPNS,NA,FALSE,FRENAGEM,AJUSTADOR TRASEIRO,FIXACOES,MPNS - EXEC MANUT,Fixacao,Reformar,DIAGNÓSTICAR FREIO DE SERVIÇO.,MPNS - EXEC MANUT,HAUL-0032
Mina A,2018-12-29,2018-12-29T21:35:37Z,2019-01-09T14:29:43Z,256.74,201904630559,Filha,Fechada,1968-12-31T06:00:00Z,2019-01-10T22:32:55Z,MPNS,NA,FALSE,FRENAGEM,AJUSTADOR TRASEIRO,FIXACOES,MPNS - EXEC MANUT,Fixacao,Reformar,DIAGNÓSTICAR FREIO DE SERVIÇO.,CENTRAL N4E,HAUL-0032
Mina A,2018-12-30,2018-12-30T10:41:36Z,2019-01-03T04:46:01Z,90.72,201902544886,Mãe,Fechada,2019-01-04T20:00:00Z,2019-01-03T04:46:05Z,MPS,NA,FALSE,ESTRUTURA,CHASSIS,CHASSIS,MPS - EXEC MANUT,Trinca,Soldar,SOLDA TRINCA NO CHASSI L/E NA PARTE INFERIOR,MPS - EXEC MANUT,HAUL-0153
Mina A,2018-12-30,2018-12-30T10:41:36Z,2019-01-03T04:46:01Z,89.83,201902544886,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T23:21:54Z,MPNS,NA,FALSE,ESTRUTURA,CHASSIS,CHASSIS,MPNS - EXEC MANUT,Trinca,Soldar,SOLDA TRINCA NO CHASSI L/E NA PARTE INFERIOR,OFICINA N5,HAUL-0153
Mina A,2018-12-30,2018-12-30T14:05:36Z,2019-01-05T14:32:30Z,144.06,201904651249,Mãe,Fechada,NA,2019-01-05T14:35:13Z,HMC,NA,FALSE,PROPULSAO E RETARDO,CAIXA DE RESISTENCIA DO MOTOR TD,CAIXA DE RESISTENCIA,HMC - EXEC MANUT,Fixacao,Fixar,CORRIGIR CORTE DE PROPULSÃO,HMC - EXEC MANUT,HAUL-0089
Mina A,2018-12-30,2018-12-30T15:00:00Z,2019-01-03T04:46:01Z,86.21,201904650785,Filha,Fechada,NA,2018-12-30T19:49:04Z,MPS,10000,TRUE,REVISÃO DE 10000H,REVISÃO DE 10000H,REVISÃO DE 10000H,MPS - EXEC MANUT,Revisão De 10000h,Revisão De 10000h,REVISÃO DE 10.000,OFC N5,HAUL-0153
Mina A,2018-12-30,2018-12-30T17:07:21Z,2019-01-01T11:44:08Z,42.28,201904652228,Mãe,Fechada,NA,2019-01-01T14:29:15Z,HMC,NA,FALSE,LOCOMOCAO,RODA TDI,PNEU,HMC - EXEC MANUT,Furo,Trocar,SUBSTITUIR PNEU TDI,HMC - EXEC MANUT,HAUL-0033
