id_equipamento,data,turno,equipe,inicio,fim,duracao_h,status,codigo,categoria,descricao
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T00:00:00Z,2023-01-01T01:22:16Z,1.3674457557405553,Liberado,5928,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T01:22:16Z,2023-01-01T02:17:28Z,0.9184071401070805,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T02:17:28Z,2023-01-01T02:35:09Z,0.29421042202456027,Parada,5914,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T02:35:09Z,2023-01-01T03:53:58Z,1.3099852959535008,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T03:53:58Z,2023-01-01T03:54:03Z,0.0013848447072862958,Parada,5948,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T03:54:03Z,2023-01-01T03:54:14Z,0.0030646046126675277,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T03:54:14Z,2023-01-01T04:03:03Z,0.14734466394588946,Parada,6910,HOE,Hora Ocio Exter
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T04:03:03Z,2023-01-01T04:52:39Z,0.8337973647351067,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T04:52:39Z,2023-01-01T04:57:34Z,0.0814789415765295,Parada,2907,HAO,Hora Atraso Oper
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T04:57:34Z,2023-01-01T05:00:01Z,0.041110102400319495,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T05:00:01Z,2023-01-01T05:02:31Z,0.04168770873375858,Parada,2907,HAO,Hora Atraso Oper
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T05:02:31Z,2023-01-01T05:19:39Z,0.283494947726295,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T05:19:39Z,2023-01-01T05:25:47Z,0.1019751618007198,Parada,5932,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Noturno,D,2023-01-01T05:25:47Z,2023-01-01T06:00:00Z,0.5709970156544664,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T06:00:00Z,2023-01-01T06:04:43Z,0.07904799858401917,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T06:04:43Z,2023-01-01T06:24:53Z,0.3391340957309715,Parada,4999,HTD,Hora Trab Diver
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T06:24:53Z,2023-01-01T06:25:40Z,0.013078833346870832,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T06:25:40Z,2023-01-01T06:27:18Z,0.027135215034540222,Parada,5948,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T06:27:18Z,2023-01-01T06:44:33Z,0.2859674318927573,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T06:44:33Z,2023-01-01T06:44:56Z,0.006389812741067726,Parada,5907,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T06:44:56Z,2023-01-01T07:33:37Z,0.8062948640275696,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T07:33:37Z,2023-01-01T07:49:52Z,0.2700809455582445,Parada,2907,HAO,Hora Atraso Oper
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T07:49:52Z,2023-01-01T08:33:53Z,0.7392226721820228,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T08:33:53Z,2023-01-01T08:34:09Z,0.004463401319210728,Parada,5907,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T08:34:09Z,2023-01-01T09:24:59Z,0.8430875780970221,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T09:24:59Z,2023-01-01T09:30:54Z,0.09955863202647176,Parada,5907,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T09:30:54Z,2023-01-01T09:43:01Z,0.20019009456693765,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T09:43:01Z,2023-01-01T09:55:20Z,0.20464512668892146,Parada,4999,HTD,Hora Trab Diver
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T09:55:20Z,2023-01-01T10:08:29Z,0.2202133713851217,Parada,5943,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T10:08:29Z,2023-01-01T12:55:37Z,2.806072060626615,Liberado,5928,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T12:55:37Z,2023-01-01T14:06:36Z,1.1834381709371964,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T14:06:36Z,2023-01-01T14:19:04Z,0.207077848701267,Parada,5940,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T14:19:04Z,2023-01-01T15:18:57Z,0.998218168863054,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T15:18:57Z,2023-01-01T15:19:16Z,0.005271306899439596,Parada,2907,HAO,Hora Atraso Oper
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T15:19:16Z,2023-01-01T16:43:23Z,1.4022317891918588,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T16:43:23Z,2023-01-01T16:52:12Z,0.14594700474932323,Parada,5934,HOI,Hora Ocio Inter
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T16:52:12Z,2023-01-01T17:32:52Z,0.6799891055479336,Apto,1912,HEF,Hora Efetiva
HAUL-0045,2023-01-01,Diurno,C,2023-01-01T17:32:52Z,2023-01-01T17:35:58Z,0.05212258328805522,Parada,2907,HAO,Hora Atraso Oper
