data,id_equipamento,modelo,DF,UF,MTBF,MTTR,num_falhas,producao_total,produtividade,HC,HM,HMC,HMP,HT,HEF
2019-08-01,INFRA-212,Caterpillar 16M,80.59,56.24,31.28,7.48,11.07,0,0,742.03,139.55,82.53,57.29,343.74,0
2019-09-01,INFRA-212,Caterpillar 16M,66.45,66.9,16.94,12.64,19.05,0,0,720.35,244.29,237.96,4.77,322.25,0
2019-10-01,INFRA-212,Caterpillar 16M,80.56,58.24,29.24,10.79,11.92,0,0,736.67,139.94,129.2,9.3,352.02,0
2019-11-01,INFRA-212,Caterpillar 16M,69.4,64.31,21.22,11.82,14.93,0,0,717.63,222.93,176.18,44.7,321.62,0
2019-12-01,INFRA-212,Caterpillar 16M,79.12,70.62,28.11,7.98,15.06,0,0,739.65,153.3,104.51,33.49,418.85,0
2020-01-01,INFRA-212,Caterpillar 16M,46.13,79.49,38.87,49.73,7.06,0,0,746.99,398.02,348.47,52.86,272.55,0
2020-02-01,INFRA-212,Caterpillar 16M,65.72,71.32,34.78,21.85,9.02,0,0,672.4,230.32,197.3,35.56,315.14,0
2020-03-01,INFRA-212,Caterpillar 16M,73.38,72.44,19.73,8.48,20.07,0,0,742.25,202.77,169.85,34.03,392.74,0
2020-04-01,INFRA-212,Caterpillar 16M,50.31,39.92,10.41,6.79,14.07,0,0,719.25,354.3,94.58,261.71,146.44,0
2020-05-01,INFRA-212,Caterpillar 16M,72.95,57.64,31.18,6.25,9.94,0,0,749.68,202.6,62.39,140.24,308.06,0
2020-06-01,INFRA-212,Caterpillar 16M,77.59,58.55,13.54,4.74,23.9,0,0,720.84,156.56,113.61,41.48,329.74,0
2020-07-01,INFRA-212,Caterpillar 16M,82.26,59.67,23.13,4.21,15.89,0,0,743.66,131.81,67.77,63.56,363.22,39.32
2020-08-01,INFRA-212,Caterpillar 16M,74.08,73.61,51.58,16.01,7.97,0,0,749.86,191.25,127.15,64.76,412.32,14.12
2020-09-01,INFRA-212,Caterpillar 16M,75.78,82.05,75.3,12.33,5.94,0,0,725.18,173.33,73.59,98.13,450.04,4.43
2020-10-01,INFRA-212,Caterpillar 16M,74.97,77.73,24.31,8.81,17.88,0,0,748.83,187.77,158.92,28.84,432.75,0
2020-11-01,INFRA-212,Caterpillar 16M,77.39,82.02,28.39,5.22,15.91,0,0,718.36,166.46,84.1,80.16,457.57,0
