data,turno,periodo_climatico,DF,UF,produtividade_ht,massa_carregada,carga_media,num_ciclos,tmc,tempo_manobra,HC,HM,HD,HO,HT,HTP,HTNP,HEF,HAO,id_equipamento
2019-01-01,1,Chuvoso,37.03,77.59,2520.45,4306.85,82.46,52,3.13,0.83,6,3.76,2.23,0.51,1.72,1.51,0.2,1.28,0.23,ESC-01
2019-01-01,2,Chuvoso,62.9,46.19,2748.81,4770.45,83.31,57,2.56,0.59,5.97,2.24,3.75,2.02,1.73,0.33,1.39,0,0.33,ESC-01
2019-01-01,3,Chuvoso,46.99,26.71,1521.88,1141.02,81.6,14,4.07,0.64,6.06,3.21,2.81,2.06,0.74,0.35,0.39,0,0.35,ESC-01
2019-01-01,1,Chuvoso,80.06,37.42,2114.39,3774.96,49.15,77,3.12,1.18,5.99,1.21,4.8,3.01,1.78,0.63,1.17,0,0.63,ESC-02
2019-01-01,2,Chuvoso,80.23,23.47,2098.47,2381.02,48.42,49,2.64,0.85,5.94,1.21,4.8,3.68,1.12,0,1.12,0,0,ESC-02
2019-01-01,3,Chuvoso,95.01,15.57,3035.7,2681.12,48.7,55,3.02,0.83,6,0.25,5.75,4.86,0.9,0.78,0.11,0.65,0.12,ESC-02
2019-01-01,4,Chuvoso,100.94,11.72,1048.39,741.74,46.14,16,5.71,0.34,5.96,0,6,5.3,0.71,0.2,0.51,0,0.2,ESC-02
2019-01-01,1,Chuvoso,62.54,48.88,3441.71,6416.07,123.37,52,2.07,0.78,6.04,2.22,3.77,1.91,1.85,1.71,0.16,1.54,0.18,ESC-03
2019-01-01,2,Chuvoso,85.4,78.59,2470.38,10111.72,121.06,83,2.45,0.93,6.04,0.83,5.17,1.1,4.08,3.29,0.77,2.73,0.56,ESC-03
2019-01-01,3,Chuvoso,100.69,31.99,2889.13,5497.37,123.04,45,2.39,0.96,6.03,0,6,4.07,1.94,1.67,0.25,1.33,0.34,ESC-03
2019-01-01,1,Chuvoso,46.77,76.56,2165.26,4550.36,40.96,112,3.29,0.94,6.06,3.18,2.79,0.65,2.12,0.88,1.26,0.21,0.67,PA-04
2019-01-01,2,Chuvoso,67.81,40.77,3783.5,6244.43,40.64,154,2.41,0.45,6.02,1.92,4.09,2.43,1.65,0.72,0.94,0.36,0.36,PA-04
2019-01-01,3,Chuvoso,74.82,54.98,1631.44,4055.19,41.04,98,3.13,0.87,6.02,1.49,4.49,2.03,2.46,0,2.46,0,0,PA-04
2019-01-01,4,Chuvoso,58.18,51.3,2602.73,4681.22,41.09,114,3.38,0.8,6.05,2.48,3.5,1.69,1.82,1.29,0.51,1.03,0.27,PA-04
2019-01-02,1,Chuvoso,67.22,84.94,2124.18,7264.87,80.82,89,3.1,1.25,5.99,1.98,4,0.62,3.35,2.89,0.49,2.57,0.33,ESC-01
