id_equipamento,data,turno,equipe,inicio,fim,duracao_h,status,codigo,categoria,descricao
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T00:00:00Z,2023-01-01T00:24:01Z,0.40410680032202384,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T00:24:01Z,2023-01-01T00:51:52Z,0.46775522590485247,Parada,5945,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T00:51:52Z,2023-01-01T01:01:59Z,0.16919545705692532,Parada,5946,HTD,Hora Trab Diver
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T01:01:59Z,2023-01-01T02:03:33Z,1.020235987470664,Parada,5902,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T02:03:33Z,2023-01-01T03:46:22Z,1.7008508339851993,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T03:46:22Z,2023-01-01T04:02:58Z,0.27477722001948085,Parada,6910,HOE,Hora Ocio Exter
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T04:02:58Z,2023-01-01T04:13:45Z,0.18142571135440247,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T04:13:45Z,2023-01-01T05:03:52Z,0.8387449290793622,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T05:03:52Z,2023-01-01T05:12:07Z,0.13763198613963323,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Noturno,D,2023-01-01T05:12:07Z,2023-01-01T06:00:00Z,0.7934274964467014,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T06:00:00Z,2023-01-01T06:00:17Z,0.004675178261497058,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T06:00:17Z,2023-01-01T06:34:28Z,0.5710952886216886,Parada,5996,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T06:34:28Z,2023-01-01T06:46:18Z,0.19538422029447328,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T06:46:18Z,2023-01-01T08:07:42Z,1.3661050579719558,Parada,5945,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T08:07:42Z,2023-01-01T08:34:32Z,0.4500025217940953,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T08:34:32Z,2023-01-01T10:23:46Z,1.8337856765836738,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T10:23:46Z,2023-01-01T10:35:22Z,0.1926966431546646,Parada,5946,HTD,Hora Trab Diver
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T10:35:22Z,2023-01-01T11:13:40Z,0.6370445587557896,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T11:13:40Z,2023-01-01T11:21:41Z,0.13252202839832497,Parada,5947,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T11:21:41Z,2023-01-01T13:10:31Z,1.8219582279307198,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T13:10:31Z,2023-01-01T13:22:29Z,0.1989988506963606,Parada,5945,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T13:22:29Z,2023-01-01T13:28:14Z,0.09653052814844221,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T13:28:14Z,2023-01-01T15:58:07Z,2.4916616200380934,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T15:58:07Z,2023-01-01T17:26:14Z,1.4824582230757157,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-01,Diurno,C,2023-01-01T17:26:14Z,2023-01-01T18:00:00Z,0.5606973580711961,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-01,Tarde,D,2023-01-01T18:00:00Z,2023-01-02T00:00:00Z,6.023677646666766,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-02,Noturno,D,2023-01-02T00:00:00Z,2023-01-02T06:00:00Z,6.0062537155207245,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-02,Diurno,C,2023-01-02T06:00:00Z,2023-01-02T18:00:00Z,11.957355100158603,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-02,Tarde,D,2023-01-02T18:00:00Z,2023-01-02T21:23:31Z,3.4099167172252742,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-02,Tarde,D,2023-01-02T21:23:31Z,2023-01-03T00:00:00Z,2.6228869489505255,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-03,Noturno,D,2023-01-03T00:00:00Z,2023-01-03T06:00:00Z,6.004456177577376,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-03,Diurno,A,2023-01-03T06:00:00Z,2023-01-03T18:00:00Z,11.897454459965228,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-03,Tarde,B,2023-01-03T18:00:00Z,2023-01-04T00:00:00Z,6.041827324116602,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-04,Noturno,B,2023-01-04T00:00:00Z,2023-01-04T06:00:00Z,6.051864557862283,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-04,Diurno,A,2023-01-04T06:00:00Z,2023-01-04T18:00:00Z,12.055754609797152,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-04,Tarde,B,2023-01-04T18:00:00Z,2023-01-05T00:00:00Z,6.012573942337186,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-05,Noturno,B,2023-01-05T00:00:00Z,2023-01-05T06:00:00Z,6.009578559435904,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-05,Diurno,A,2023-01-05T06:00:00Z,2023-01-05T18:00:00Z,11.887111153900623,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-05,Tarde,B,2023-01-05T18:00:00Z,2023-01-06T00:00:00Z,5.940778127973899,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-06,Noturno,B,2023-01-06T00:00:00Z,2023-01-06T06:00:00Z,5.95461081912741,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-06,Diurno,C,2023-01-06T06:00:00Z,2023-01-06T18:00:00Z,11.96221828205511,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-06,Tarde,D,2023-01-06T18:00:00Z,2023-01-07T00:00:00Z,5.97984113574028,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-07,Noturno,D,2023-01-07T00:00:00Z,2023-01-07T06:00:00Z,6.006445556357503,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-07,Diurno,C,2023-01-07T06:00:00Z,2023-01-07T17:11:20Z,11.25169545220563,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-07,Diurno,C,2023-01-07T17:11:20Z,2023-01-07T18:00:00Z,0.8157811197917392,Manutencao,9600,MPS,Hora Mnt Prv Sist
LOAD-0016,2023-01-07,Tarde,D,2023-01-07T18:00:00Z,2023-01-08T00:00:00Z,5.997219272414222,Manutencao,9600,MPS,Hora Mnt Prv Sist
LOAD-0016,2023-01-08,Noturno,D,2023-01-08T00:00:00Z,2023-01-08T06:00:00Z,5.975605591619388,Manutencao,9600,MPS,Hora Mnt Prv Sist
LOAD-0016,2023-01-08,Diurno,C,2023-01-08T06:00:00Z,2023-01-08T17:25:45Z,11.352034479409902,Manutencao,9600,MPS,Hora Mnt Prv Sist
LOAD-0016,2023-01-08,Diurno,C,2023-01-08T17:25:45Z,2023-01-08T17:27:20Z,0.026139044405459166,Liberado,5936,HOI,Hora Ocio Inter
LOAD-0016,2023-01-08,Diurno,C,2023-01-08T17:27:20Z,2023-01-08T18:00:00Z,0.5439299319930788,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-08,Tarde,D,2023-01-08T18:00:00Z,2023-01-08T18:01:00Z,0.016824503219453616,Liberado,5922,HOI,Hora Ocio Inter
LOAD-0016,2023-01-08,Tarde,D,2023-01-08T18:01:00Z,2023-01-09T00:00:00Z,6.030077587289969,Liberado,5931,HOI,Hora Ocio Inter
LOAD-0016,2023-01-09,Noturno,D,2023-01-09T00:00:00Z,2023-01-09T06:00:00Z,5.970027287676931,Liberado,5931,HOI,Hora Ocio Inter
LOAD-0016,2023-01-09,Diurno,A,2023-01-09T06:00:00Z,2023-01-09T18:00:00Z,12.059237809795885,Liberado,5931,HOI,Hora Ocio Inter
LOAD-0016,2023-01-09,Tarde,B,2023-01-09T18:00:00Z,2023-01-10T00:00:00Z,5.998364208340645,Liberado,5931,HOI,Hora Ocio Inter
LOAD-0016,2023-01-10,Noturno,B,2023-01-10T00:00:00Z,2023-01-10T06:00:00Z,6.0206208234932275,Liberado,5931,HOI,Hora Ocio Inter
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T06:00:00Z,2023-01-10T08:10:59Z,2.1991964684146157,Liberado,5931,HOI,Hora Ocio Inter
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T08:10:59Z,2023-01-10T08:30:03Z,0.31694368508560583,Parada,5945,HOI,Hora Ocio Inter
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T08:30:03Z,2023-01-10T08:47:21Z,0.28954327338083335,Parada,5981,HOI,Hora Ocio Inter
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T08:47:21Z,2023-01-10T10:18:04Z,1.508063397192858,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T10:18:04Z,2023-01-10T10:23:26Z,0.08882506868689993,Parada,5904,HOI,Hora Ocio Inter
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T10:23:26Z,2023-01-10T10:27:25Z,0.06585028195000615,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T10:27:25Z,2023-01-10T11:02:16Z,0.5813498247089525,Parada,5904,HOI,Hora Ocio Inter
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T11:02:16Z,2023-01-10T12:39:56Z,1.613968857143333,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T12:39:56Z,2023-01-10T12:44:22Z,0.0737121497136308,Parada,6909,HOE,Hora Ocio Exter
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T12:44:22Z,2023-01-10T12:52:59Z,0.14398491260372878,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T12:52:59Z,2023-01-10T12:53:56Z,0.01584823220491332,Parada,6909,HOE,Hora Ocio Exter
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T12:53:56Z,2023-01-10T13:16:33Z,0.3758423334563087,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T13:16:33Z,2023-01-10T13:28:38Z,0.2029683939583548,Parada,6910,HOE,Hora Ocio Exter
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T13:28:38Z,2023-01-10T15:14:15Z,1.756328205667008,Apto,1912,HEF,Hora Efetiva
LOAD-0016,2023-01-10,Diurno,A,2023-01-10T15:14:15Z,2023-01-10T16:11:42Z,0.9545783632378676,Parada,5902,HOI,Hora Ocio Inter
