data,id_equipamento,modelo,DF,UF,MTBF,MTTR,num_falhas,producao_total,produtividade,HC,HM,HMC,HMP,HT,HEF
2019-08-01,LOAD-009,Bucyrus 495HR,86.88,68.72,40.48,4.69,10.91,947256.03,2207.86,739.73,94.72,52.27,42.9,445.71,426.52
2019-09-01,LOAD-009,Bucyrus 495HR,82.8,71.06,210.03,1.49,1.98,1003543.92,2492.98,714.27,119.06,2.96,116.24,421.78,401.96
2019-10-01,LOAD-009,Bucyrus 495HR,89.8,74.73,168.36,6.64,2.98,1113827.61,2359.28,742.4,79.78,20.12,58.82,504.1,467.06
2019-11-01,LOAD-009,Bucyrus 495HR,83.38,71.8,107.78,2.18,4.01,1182424.44,2921.01,721.37,114.22,8.69,106.6,433.1,404.97
2019-12-01,LOAD-009,Bucyrus 495HR,94.92,73.84,86.46,3.47,6.03,1239192.45,2563.63,737.61,38.66,20.52,18.13,520.26,486.64
2020-01-01,LOAD-009,Bucyrus 495HR,93.37,72.71,100.69,2.06,4.97,1374694.41,2807.24,745.29,42.99,10.44,32,511.43,485.05
2020-02-01,LOAD-009,Bucyrus 495HR,18.06,55.46,8.46,41.56,7.96,144291.52,2308.64,677.87,556.43,334.96,218.57,67.46,62.98
2020-03-01,LOAD-009,Bucyrus 495HR,59.7,43.69,32.46,45.27,6.01,371910.42,2244.68,739.54,299.9,263.43,26.05,195.14,168.01
2020-04-01,LOAD-009,Bucyrus 495HR,92.17,58.26,128.28,5.86,2.98,813923.59,2340.4,719.97,56.2,17.49,38.65,386.64,344.34
2020-05-01,LOAD-009,Bucyrus 495HR,77.66,69.13,130.18,3.72,3.01,862652.64,2426.13,743.75,169.54,11.03,158.22,392.63,359.11
2020-06-01,LOAD-009,Bucyrus 495HR,70.26,71.56,90.38,41.02,4.01,839624.62,2474.26,717.55,212.58,164.18,47.08,361.59,338
2020-07-01,LOAD-009,Bucyrus 495HR,86.71,72.16,93.52,2.61,4.97,968968.85,2252.99,749.03,94.33,13.03,80.95,469.83,433.68
2020-08-01,LOAD-009,Bucyrus 495HR,1.04,0,24.1,0,0,0,0,746.65,734.79,0,742.35,0,0
2020-09-01,LOAD-009,Bucyrus 495HR,66.44,38.05,26.4,19.25,6.95,356337.91,2022.65,718.73,236.8,134.4,104.27,186.27,176.58
2020-10-01,LOAD-009,Bucyrus 495HR,98.12,29.77,109.78,4.01,1.99,459603.44,2188.3,736.73,9.9,7.89,1.88,219.71,212.47
2020-11-01,LOAD-009,Bucyrus 495HR,82.03,33.6,39.29,4.48,5.04,443034.51,2329.55,716.38,133.12,22.43,110.4,196.57,190.65
2020-12-01,LOAD-009,Bucyrus 495HR,91.48,54.37,74.1,5.21,5,853583.16,2350.87,750.58,65.99,26.27,40.14,366.92,362.31
2021-01-01,LOAD-009,Bucyrus 495HR,94.44,48.66,112.02,9.2,2.97,853965.87,2561.84,746.53,45.27,27.71,17.36,335.19,334.91
2021-02-01,LOAD-009,Bucyrus 495HR,96.17,57.75,382.72,1.74,0.99,953586.89,2611.61,678.49,21.72,1.74,20.01,380.75,371.12
2021-03-01,LOAD-009,Bucyrus 495HR,62.01,51.9,61.14,5.78,4.02,613428.7,2668.8,748.07,278.07,23.14,256.16,243.59,230.64
2021-04-01,LOAD-009,Bucyrus 495HR,98.39,49.47,23.97,0,0,973785.15,2830.15,726.53,5.47,0,5.44,351.56,345.93
2021-05-01,LOAD-009,Bucyrus 495HR,89.61,59.67,67.88,2.33,6.05,1310576.31,3386.02,749.86,71.51,13.97,58.38,405.1,396.58
2021-06-01,LOAD-009,Bucyrus 495HR,79.82,68.07,97.02,1.99,3.97,1278048.9,3346.87,719.68,142.23,7.94,134.82,390.25,384.36
2021-07-01,LOAD-009,Bucyrus 495HR,93.84,58.45,51.36,5.39,7.97,1130300.76,2826.82,747.53,46.46,38.78,3.98,409.02,403.02
2021-08-01,LOAD-009,Bucyrus 495HR,95.11,69.81,101.21,2.5,5.03,1469216.59,3002.56,742.37,29.48,12.63,16.76,498.54,492.89
2021-09-01,LOAD-009,Bucyrus 495HR,69.34,59.02,58.83,3.34,5,808545.01,2830.57,719.2,214.9,16.83,199.16,297.82,288.84
2021-10-01,LOAD-009,Bucyrus 495HR,94.87,58.4,103.37,3.7,3.97,1178680.55,2926.55,749.59,33.73,14.87,19.45,416.06,403.98
2021-11-01,LOAD-009,Bucyrus 495HR,75.12,28.28,23.99,0,0,393069.63,2707.74,713.77,175.86,0,175.94,151.82,147.28
2021-12-01,LOAD-009,Bucyrus 495HR,85.25,58.34,93.25,1.56,3.98,941179.65,2617.24,738.47,107.27,6.2,102.5,369.86,359.25
2022-01-01,LOAD-009,Bucyrus 495HR,92.93,40.67,46.57,4.06,6.04,633323.17,2340.35,750.5,49.65,24.64,25.48,281,271.63
2022-02-01,LOAD-009,Bucyrus 495HR,96.96,53.79,116.86,2.65,2.98,857421.5,2523.73,667.43,24.79,3.12,17.08,347.78,340.7
2022-03-01,LOAD-009,Bucyrus 495HR,76.74,61.82,88.96,3.32,4.02,808616.37,2370.5,737.15,168.89,13.27,154.52,357.8,337.76
2022-04-01,LOAD-009,Bucyrus 495HR,95.44,56.32,56.31,3.27,7.02,874760.86,2346.96,714.76,26.4,10.04,3.55,395.81,381.32
